Grid;Lat/Lon hddd°mm.mmm';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;WGS 84;Supposed Vent;780000;10005500;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;wt%;wt%;wt%;wt%;wt%;wt%;wt%;wt%;wt%;wt%;wt%;wt%;wt%;wt%;wt%;wt%;wt%;wt%;wt%;wt%;;;
Name;Position;;Position UTM WGS84;;Distance Vent;Altitude;Thickness;Mass/area;Size -7 phi;Size -6 phi;Size - 5 phi;Size - 4 phi;Size - 3 phi;Size - 2 phi;Size - 1 phi;Size 0 phi;Size 1 phi;Size 2 phi;Size 3 phi;Size 4 phi;Size 5 phi;Size 6 phi;Size 7 phi;Size 8 phi;Size 9 phi;Size 10 phi;Size 11 phi;total;Md(phi);Sorting;SkG
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PL24;-78.346201;-0.071281;795407;9992113;20.41047324;2192;3.0;30.0;0.0000;0.0000;0.0000;0.0000;0.3547;3.1079;9.3500;19.6196;31.6889;23.6231;6.8580;0.8828;1.0506;2.0036;0.9569;0.3980;0.0873;0.0170;0.0016;99.9999;0.55;1.34;-0.04
PL25;-78.304236;-0.050574;800083;9994404;22.94445696;2331;2;20.0;;;;;;;;;;;;;;;;;;;;0.0000;;;
PL26;-78.321067;-0.052355;798207;9994207;21.42490835;2266;1.5;15.0;0.0000;0.0000;0.0000;0.0000;0.0000;2.5547;5.6569;14.0511;29.3859;30.0112;11.8794;1.6464;1.2840;2.1390;0.9893;0.3356;0.0576;0.0084;0.0004;99.9999;0.94;1.32;-0.05
PL27;-78.336499;-0.034408;796488;9996193;18.93342;1999;3.0;30.0;0.0000;0.0000;0.0000;0.0000;0.5409;1.8931;7.1216;17.4434;30.9630;27.9213;9.0471;1.2479;1.2366;1.5001;0.6903;0.3125;0.0684;0.0130;0.0007;100.0000;0.74;1.28;-0.07
PL28;-78.356859;-0.013161;794220;9998544;15.8301717;2285;7.0;70.0;0.0000;0.0000;0.0000;0.0000;3.9302;7.3195;11.8266;20.0115;27.5816;19.9543;6.6643;0.3929;0.7497;0.9467;0.4010;0.1755;0.0395;0.0062;0.0004;100.0000;0.25;1.63;-0.13
PL29;-78.447465;-0.092038;784128;9989817;16.21717833;2643;7.0;70.0;;;;;;;;;;;;;;;;;;;;0.0000;;;
PL31;-78.434762;-0.074585;785543;9991748;14.82708174;2761;10.0;100.0;0.0000;0.0000;2.7117;8.5277;10.5272;16.4436;16.6171;14.2067;14.9994;9.6275;3.9021;0.7316;0.7033;0.6654;0.2348;0.0810;0.0172;0.0033;0.0004;100.0000;-1.29;2.27;0.01
PL32;-78.406609;-0.064759;788679;9992835;15.35341219;2761;7.0;70.0;0.0000;0.0000;4.4587;11.1467;8.4618;12.4974;13.5551;13.6853;16.1909;11.8689;4.5910;0.9373;0.8839;1.1083;0.4322;0.1475;0.0294;0.0053;0.0004;100.0000;-1.01;2.65;-0.11
PL33;-78.411476;-0.054772;788137;9993940;14.13663217;2773;7.5;75.0;;;;;;;;;;;;;;;;;;;;0.0000;;;
PL34;-78.411431;-0.053064;788142;9994129;13.98541401;2784;7.5;75.0;0.0000;0.0000;5.0682;8.4247;11.2145;16.2715;15.3490;13.8264;14.0742;9.8790;3.7350;0.5764;0.6212;0.6519;0.2139;0.0774;0.0142;0.0023;0.0001;99.9999;-1.41;2.38;0.01
PL35;-78.42408;-0.048699;786733;9994612;12.801634;2818;10.0;100.0;0.0000;0.0000;5.0549;5.3358;9.2756;13.4055;16.1807;16.3542;18.0582;10.7053;4.1456;0.6295;0.3395;0.3357;0.1214;0.0467;0.0098;0.0015;0.0001;100.0000;-0.95;2.21;-0.1
PL36;-78.424556;-0.047994;786680;9994689;12.70826979;2825;11.0;110.0;0.0000;0.0000;4.6034;5.7573;11.6968;13.9074;14.9277;16.1302;17.9331;9.9556;3.9302;0.4919;0.2458;0.2727;0.0973;0.0389;0.0096;0.0018;0.0002;100.0000;-1.06;2.23;-0.1
PL37;-78.420418;-0.038965;787141;9995689;12.1346447;2866;11.5;115.0;;;;;;;;;;;;;;;;;;;;0.0000;;;
PL38;-78.447538;-0.072073;784120;9992026;14.08982172;2563;8.0;80.0;;;;;;;;;;;;;;;;;;;;0.0000;;;
PL39;-78.451139;-0.057088;783719;9993684;12.38744594;2477;12.5;125.0;0.0000;0.0000;3.8208;10.5924;11.9392;14.3073;14.7008;14.6024;16.7098;8.4328;3.3045;0.5619;0.4077;0.4235;0.1382;0.0459;0.0106;0.0019;0.0001;100.0000;-1.36;2.35;-0.06
PL40;-78.475263;0.007202;781032;10000797;4.814896987;2599;28.0;280.0;8.3376;14.9262;17.4488;11.5976;10.2719;11.3209;7.4489;6.1315;6.3778;3.5975;1.3041;0.4437;0.3094;0.3347;0.1037;0.0352;0.0085;0.0018;0.0001;100.0000;-4.2;2.96;0.23
PL41;-78.475389;0.006949;781018;10000769;4.839285588;2615;35.0;350.0;14.8198;5.6495;21.5207;11.5580;9.4431;15.7112;7.9875;5.6333;3.8866;1.9451;0.6555;0.3356;0.3235;0.3607;0.1218;0.0388;0.0078;0.0015;0.0001;100.0000;-4.31;2.73;0.09
PL42;-78.47371;0.010844;781205;10001200;4.465649449;2652;35.0;350.0;;;;;;;;;;;;;;;;;;;;0.0000;;;
PL43;-78.456553;-0.012285;783116;9998641;7.533613807;2456;18.0;180.0;0.0000;11.3857;11.0999;11.1971;12.9011;11.9098;12.5800;9.8488;9.7163;6.4795;1.8938;0.3433;0.2218;0.2917;0.0896;0.0328;0.0073;0.0011;0.0001;100.0000;-2.71;2.95;0.03
PL44;-78.408223;-0.100088;788499;9988926;18.62606982;2446;2.5;25.0;0.0000;0.0000;0.0000;2.8176;2.1968;7.6409;12.6552;19.5798;26.5344;18.6761;6.7356;0.8011;0.9787;0.8594;0.3292;0.1521;0.0387;0.0043;0.0002;100.0000;0.19;1.7;-0.13
PL45;-78.397011;-0.087208;789748;9990351;18.01431944;2281;4.0;40.0;0.0000;0.0000;0.0000;2.2249;3.6269;5.9128;10.4237;16.5498;24.8754;20.7133;9.4624;1.3592;1.2319;2.1105;1.0027;0.4141;0.0791;0.0128;0.0004;100.0000;0.45;1.79;-0.14
PL46;-78.3607;-0.056975;793792;9993696;18.15361341;2180;4.0;40.0;0.0000;0.0000;0.0000;3.7124;1.4009;3.7590;9.1291;17.9314;29.9141;21.3879;6.6476;1.8642;1.2851;1.8261;0.8190;0.2665;0.0486;0.0075;0.0006;100.0000;0.47;1.53;-0.1
PL47;-78.351796;0.013653;794785;10001511;15.31366534;2000;5.5;55.0;0.0000;0.0000;0.0000;4.0366;2.4372;6.7784;12.0906;19.5354;27.0402;18.3543;6.0722;0.8647;0.7219;1.1748;0.5890;0.2479;0.0485;0.0079;0.0005;100.0000;0.19;1.72;-0.14
PL48;-78.368565;0.003604;792917;10000399;13.88773164;2367;7.0;70.0;0.0000;0.0000;5.7932;0.7647;3.6536;10.0106;13.9036;19.7509;29.0534;12.2259;3.7164;0.2892;0.2358;0.3332;0.1699;0.0787;0.0180;0.0030;0.0001;100.0000;-0.2;1.75;-0.27
PL49;-78.572911;0.000685;770156;10000076;11.23939998;2861;17.5;175.0;;;;;;;;;;;;;;;;;;;;0.0000;;;
PL50;-78.54855;0.06805;772869;10007529;7.414040869;2569;;;;;;;;;;;;;;;;;;;;;;0.0000;;;
PL51;-78.550285;0.012951;772676;10001433;8.377437854;2695;26.0;260.0;0.0000;0.0000;3.7711;6.2120;17.6402;17.3274;16.5737;13.5570;11.0358;9.1769;3.2603;0.5440;0.3245;0.3632;0.1446;0.0536;0.0128;0.0028;0.0002;100.0000;-1.7;2.23;0.12
PL52;-78.59923;0.016117;767224;10001783;13.30572302;2159;20.0;200.0;0.0000;4.4633;15.4514;8.7651;10.6064;13.6040;16.4737;16.1328;10.2735;3.0053;0.4266;0.2049;0.1709;0.2744;0.1037;0.0344;0.0079;0.0017;0.0001;100.0000;-2.21;2.58;-0.18
