1985	51289000	23331	30646
1986	41326000	20549	28674
1987	51938000	18398	26243
1988	55928000	16759	23213
1989	133286000	16136	21654
1990	110813000	14813	21587
1991	101143000	13011	23863
1992	100482000	11448	26272
1993	85505000	11865	28683
1994	98378000	14531	30513
1995	124796000	18259	31557
1996	98387000	20242	32151
1997	131542000	19430	31874
1998	117345000	18204	31996
1999	147152000	17600	33167
2000	137278000	17700	34295
2001	132593000	18699	36327
2002	144430000	19576	38037
2003	153896000	20829	39537
2004	149884000	21654	40350
2005	135797000	22279	40992
2006	126022000	21910	40652
2007	122228000	21519	39803
2008	106309000	21821	38781
2009	91951000	22076	37182
2010	70277000	21780	35030
2011	61267000	20161	31452
2012	48881000	18706	27858
2013	51674000	16811	23770
2014	61164000	14147	19500
2015	50185000	12085	17123
2016	55546000	10173	15934
2017	47133000	9395	16133
2018	57881000	9372	16799
2019	66372000	10061	17534
