18	12
4	19
18	20
35	20
22	10
14	5
33	22
19	6
17	24
9	9
9	16
34	21
8	1
19	12
21	11
18	11
27	18
10	20
20	7
17	22
20	16
13	23
13	11
18	5
11	2
35	31
5	19
10	33
35	27
27	12
8	27
20	15
12	34
11	16
27	16
16	4
9	15
10	31
14	28
35	35
20	6
21	10
12	1
12	12
16	11
17	23
27	17
12	22
4	21
24	12
27	15
34	33
15	26
34	34
31	20
14	29
0	14
10	12
10	10
15	5
27	14
14	6
20	12
10	27
26	15
13	30
11	32
35	28
10	18
20	19
35	25
16	22
32	21
14	27
9	20
34	30
35	30
13	14
13	24
2	17
34	20
11	26
1	15
23	12
19	14
4	25
2	16
23	11
13	37
5	25
13	22
14	26
0	15
10	17
32	20
9	2
11	20
27	13
8	15
12	31
17	11
29	19
19	5
21	6
5	24
17	4
34	32
9	27
26	14
10	16
13	31
4	23
3	17
13	36
35	32
10	30
19	19
13	25
11	19
18	6
11	17
12	15
28	16
27	19
11	24
21	9
7	8
35	22
16	25
4	18
30	20
11	11
28	17
15	6
10	11
11	31
11	12
18	13
9	0
35	34
11	30
13	35
15	11
31	21
9	11
33	21
26	12
4	24
5	18
4	22
12	23
19	13
11	25
16	23
34	31
12	35
29	18
12	21
12	0
20	13
12	24
6	26
13	0
12	11
25	12
21	8
30	21
10	32
11	14
13	21
18	14
12	30
11	15
18	15
16	24
13	20
12	37
13	12
8	9
7	15
10	2
11	18
20	18
25	14
19	18
35	29
22	11
12	13
29	17
20	17
26	13
11	27
4	20
19	15
4	17
18	4
8	10
35	21
23	10
13	1
32	22
21	7
6	25
5	20
12	20
15	4
10	19
10	9
9	14
14	11
35	33
18	18
12	36
19	4
10	15
15	2
12	25
29	20
11	33
13	15
33	20
9	10
9	1
13	2
5	21
15	3
10	14
29	16
13	13
12	14
